# Intra-site net delay by site type and BEL pins, generated by IntraSiteDelayTable
# Delays in picoseconds at the slow corner.
# site_type from_bel/pin to_bel/pin slow_max_ps slow_min_ps samples

intrasite_delay
DSP58 DSP_ALUMUX/Y_36_ DSP_ALUADD/Y_36_ 0 0 2
DSP58 DSP_ALUMUX/Y_37_ DSP_ALUADD/Y_37_ 0 0 1
DSP58 DSP_ALUMUX/Y_38_ DSP_ALUADD/Y_38_ 0 0 1
DSP58 DSP_ALUMUX/Y_41_ DSP_ALUADD/Y_41_ 0 0 1
DSP58 DSP_ALUMUX/Y_42_ DSP_ALUADD/Y_42_ 0 0 2
DSP58 DSP_ALUMUX/Y_43_ DSP_ALUADD/Y_43_ 0 0 1
DSP58 DSP_ALUMUX/Y_44_ DSP_ALUADD/Y_44_ 0 0 1
DSP58 DSP_ALUMUX/Y_47_ DSP_ALUADD/Y_47_ 0 0 1
DSP58 DSP_ALUMUX/Y_49_ DSP_ALUADD/Y_49_ 0 0 1
DSP58 DSP_ALUMUX/Y_4_ DSP_ALUADD/Y_4_ 0 0 2
DSP58 DSP_ALUMUX/Y_50_ DSP_ALUADD/Y_50_ 0 0 1
DSP58 DSP_ALUMUX/Y_55_ DSP_ALUADD/Y_55_ 0 0 1
DSP58 DSP_ALUMUX/Y_56_ DSP_ALUADD/Y_56_ 0 0 2
DSP58 DSP_ALUMUX/Y_57_ DSP_ALUADD/Y_57_ 0 0 1
DSP58 DSP_ALUMUX/Y_9_ DSP_ALUADD/Y_9_ 0 0 1
DSP58 DSP_ALUMUX/Z_10_ DSP_ALUADD/Z_10_ 0 0 1
DSP58 DSP_ALUMUX/Z_11_ DSP_ALUADD/Z_11_ 0 0 2
DSP58 DSP_ALUMUX/Z_16_ DSP_ALUADD/Z_16_ 0 0 1
DSP58 DSP_ALUMUX/Z_17_ DSP_ALUADD/Z_17_ 0 0 1
DSP58 DSP_ALUMUX/Z_18_ DSP_ALUADD/Z_18_ 0 0 1
DSP58 DSP_ALUMUX/Z_22_ DSP_ALUADD/Z_22_ 0 0 1
DSP58 DSP_ALUMUX/Z_23_ DSP_ALUADD/Z_23_ 0 0 2
DSP58 DSP_ALUMUX/Z_24_ DSP_ALUADD/Z_24_ 0 0 1
DSP58 DSP_ALUMUX/Z_29_ DSP_ALUADD/Z_29_ 0 0 3
DSP58 DSP_ALUMUX/Z_30_ DSP_ALUADD/Z_30_ 0 0 1
DSP58 DSP_ALUMUX/Z_31_ DSP_ALUADD/Z_31_ 0 0 2
DSP58 DSP_ALUMUX/Z_33_ DSP_ALUADD/Z_33_ 0 0 1
DSP58 DSP_ALUMUX/Z_36_ DSP_ALUADD/Z_36_ 0 0 2
DSP58 DSP_ALUMUX/Z_37_ DSP_ALUADD/Z_37_ 0 0 1
DSP58 DSP_ALUMUX/Z_43_ DSP_ALUADD/Z_43_ 0 0 2
DSP58 DSP_ALUMUX/Z_44_ DSP_ALUADD/Z_44_ 0 0 2
DSP58 DSP_ALUMUX/Z_49_ DSP_ALUADD/Z_49_ 0 0 3
DSP58 DSP_ALUMUX/Z_50_ DSP_ALUADD/Z_50_ 0 0 1
DSP58 DSP_ALUMUX/Z_51_ DSP_ALUADD/Z_51_ 0 0 2
DSP58 DSP_ALUMUX/Z_53_ DSP_ALUADD/Z_53_ 0 0 1
DSP58 DSP_ALUMUX/Z_56_ DSP_ALUADD/Z_56_ 0 0 2
DSP58 DSP_ALUMUX/Z_9_ DSP_ALUADD/Z_9_ 0 0 1
DSP58 DSP_ALUREG/ALUMODE_DATA_1_ DSP_ALUADD/ALUMODE_DATA_1_ 0 0 2
DSP58 DSP_ALUREG/ALUMODE_DATA_2_ DSP_ALUADD/ALUMODE_DATA_2_ 0 0 1
DSP58 DSP_ALUREG/CARRYIN_DATA DSP_ALUMUX/CARRYIN_DATA 0 0 3
DSP58 DSP_ALUREG/OPMODE_DATA_1_ DSP_ALUMUX/OPMODE_DATA_1_ 0 0 2
DSP58 DSP_ALUREG/OPMODE_DATA_3_ DSP_ALUMUX/OPMODE_DATA_3_ 0 0 1
DSP58 DSP_ALUREG/OPMODE_DATA_6_ DSP_ALUMUX/OPMODE_DATA_6_ 0 0 3
DSP58 DSP_ALUREG/OPMODE_DATA_7_ DSP_ALUMUX/OPMODE_DATA_7_ 0 0 1
DSP58 DSP_A_B_DATA/A1_DATA_12_ DSP_PREADD_DATA/A1_DATA_12_ 0 0 1
DSP58 DSP_A_B_DATA/A1_DATA_14_ DSP_PREADD_DATA/A1_DATA_14_ 0 0 3
DSP58 DSP_A_B_DATA/A1_DATA_15_ DSP_PREADD_DATA/A1_DATA_15_ 0 0 1
DSP58 DSP_A_B_DATA/A1_DATA_1_ DSP_PREADD_DATA/A1_DATA_1_ 0 0 3
DSP58 DSP_A_B_DATA/A1_DATA_22_ DSP_PREADD_DATA/A1_DATA_22_ 0 0 2
DSP58 DSP_A_B_DATA/A1_DATA_24_ DSP_PREADD_DATA/A1_DATA_24_ 0 0 1
