# Horizontal wire delay corrections by (template, tile column),
# relative to the RC model. Rows are uniform; x is not.
# key corr_slow_max_ps corr_slow_min_ps samples

hwire_corr
NODE_HDOUBLE:OUT_EE#_E_BEG#@634 0.3 5.3 4
NODE_HDOUBLE:OUT_EE#_E_BEG#@67 -34.3 -22.0 20
NODE_HDOUBLE:OUT_EE#_E_BEG#@71 -21.7 -9.0 2
NODE_HDOUBLE:OUT_EE#_E_BEG#@76 37.5 24.8 6
NODE_HDOUBLE:OUT_EE#_E_BEG#@81 -43.7 -27.9 24
NODE_HDOUBLE:OUT_EE#_E_BEG#@86 -39.7 -25.4 16
NODE_HDOUBLE:OUT_EE#_E_BEG#@90 -32.3 -19.4 18
NODE_HDOUBLE:OUT_EE#_E_BEG#@94 -39.3 -25.9 15
NODE_HDOUBLE:OUT_EE#_E_BEG#@98 -49.3 -22.0 2
NODE_HDOUBLE:OUT_EE#_W_BEG#@103 -11.4 -6.3 7
NODE_HDOUBLE:OUT_EE#_W_BEG#@107 21.4 11.9 22
NODE_HDOUBLE:OUT_EE#_W_BEG#@111 11.0 5.9 30
NODE_HDOUBLE:OUT_EE#_W_BEG#@115 10.6 5.0 27
NODE_HDOUBLE:OUT_EE#_W_BEG#@120 9.5 3.5 39
NODE_HDOUBLE:OUT_EE#_W_BEG#@124 12.7 6.3 29
NODE_HDOUBLE:OUT_EE#_W_BEG#@128 -0.1 0.1 28
NODE_HDOUBLE:OUT_EE#_W_BEG#@133 24.3 18.3 12
NODE_HDOUBLE:OUT_EE#_W_BEG#@139 32.9 16.3 29
NODE_HDOUBLE:OUT_EE#_W_BEG#@144 6.7 2.8 23
NODE_HDOUBLE:OUT_EE#_W_BEG#@148 10.7 6.3 24
NODE_HDOUBLE:OUT_EE#_W_BEG#@153 15.3 11.8 10
NODE_HDOUBLE:OUT_EE#_W_BEG#@158 23.2 14.6 17
NODE_HDOUBLE:OUT_EE#_W_BEG#@163 8.2 4.2 25
NODE_HDOUBLE:OUT_EE#_W_BEG#@167 8.0 5.2 16
NODE_HDOUBLE:OUT_EE#_W_BEG#@172 -24.3 -13.5 11
NODE_HDOUBLE:OUT_EE#_W_BEG#@177 2.8 0.4 21
NODE_HDOUBLE:OUT_EE#_W_BEG#@181 15.4 6.9 18
NODE_HDOUBLE:OUT_EE#_W_BEG#@186 25.1 13.4 4
NODE_HDOUBLE:OUT_EE#_W_BEG#@192 37.3 25.0 34
NODE_HDOUBLE:OUT_EE#_W_BEG#@197 5.8 2.2 32
NODE_HDOUBLE:OUT_EE#_W_BEG#@201 17.2 7.2 9
NODE_HDOUBLE:OUT_EE#_W_BEG#@206 -16.0 -10.0 13
NODE_HDOUBLE:OUT_EE#_W_BEG#@211 -6.0 -3.5 41
NODE_HDOUBLE:OUT_EE#_W_BEG#@215 9.0 4.3 36
NODE_HDOUBLE:OUT_EE#_W_BEG#@220 17.6 6.4 6
NODE_HDOUBLE:OUT_EE#_W_BEG#@225 10.7 6.1 30
NODE_HDOUBLE:OUT_EE#_W_BEG#@230 5.9 4.5 45
NODE_HDOUBLE:OUT_EE#_W_BEG#@234 8.1 3.7 28
NODE_HDOUBLE:OUT_EE#_W_BEG#@239 -16.7 -14.4 10
NODE_HDOUBLE:OUT_EE#_W_BEG#@244 10.0 6.2 31
NODE_HDOUBLE:OUT_EE#_W_BEG#@248 4.8 3.2 34
NODE_HDOUBLE:OUT_EE#_W_BEG#@253 29.2 25.9 4
NODE_HDOUBLE:OUT_EE#_W_BEG#@259 38.5 23.0 32
NODE_HDOUBLE:OUT_EE#_W_BEG#@264 6.8 3.3 35
NODE_HDOUBLE:OUT_EE#_W_BEG#@268 7.2 5.3 28
NODE_HDOUBLE:OUT_EE#_W_BEG#@273 -20.2 -10.1 12
NODE_HDOUBLE:OUT_EE#_W_BEG#@278 3.8 0.4 30
NODE_HDOUBLE:OUT_EE#_W_BEG#@282 13.3 5.0 25
NODE_HDOUBLE:OUT_EE#_W_BEG#@287 18.0 9.9 10
NODE_HDOUBLE:OUT_EE#_W_BEG#@292 18.6 13.3 55
NODE_HDOUBLE:OUT_EE#_W_BEG#@297 4.8 0.8 45
NODE_HDOUBLE:OUT_EE#_W_BEG#@301 22.0 10.5 19
NODE_HDOUBLE:OUT_EE#_W_BEG#@306 -16.0 -10.3 16
NODE_HDOUBLE:OUT_EE#_W_BEG#@311 -5.3 -3.4 48
NODE_HDOUBLE:OUT_EE#_W_BEG#@315 5.5 0.7 45
NODE_HDOUBLE:OUT_EE#_W_BEG#@320 74.6 38.5 10
NODE_HDOUBLE:OUT_EE#_W_BEG#@326 17.0 11.1 35
NODE_HDOUBLE:OUT_EE#_W_BEG#@331 8.3 4.9 66
NODE_HDOUBLE:OUT_EE#_W_BEG#@335 4.6 2.4 39
NODE_HDOUBLE:OUT_EE#_W_BEG#@340 -10.7 -8.8 5
NODE_HDOUBLE:OUT_EE#_W_BEG#@345 -1.5 0.2 20
NODE_HDOUBLE:OUT_EE#_W_BEG#@349 7.3 4.3 26
