# Per-node clock delay, fitted by ClkNodeFit
# part: xcv80-lsva4737-2MHP-e-S
# term slow_max_ps slow_min_ps

clock_deskew vdistr extent

clock_node_delay  # trunk node instance + leaf type
CLK_VNOC_SSIT_BOT_CCO_TILE_X109Y383/CLKE2_PD_OPT_DELAY_SSIT_#_I 152.87 146.04
CLK_VNOC_SSIT_BOT_CCO_TILE_X109Y671/CLKE2_PD_OPT_DELAY_SSIT_#_I 78.51 79.38
CLK_VNOC_SSIT_BOT_CCO_TILE_X53Y383/CLKE2_PD_OPT_DELAY_SSIT_#_I 200.05 189.53
CLK_VNOC_SSIT_BOT_CCO_TILE_X53Y671/CLKE2_PD_OPT_DELAY_SSIT_#_I 223.76 212.17
CLK_VNOC_SSIT_BOT_CCO_TILE_X81Y383/CLKE2_PD_OPT_DELAY_SSIT_#_I 303.08 285.10
CLK_VNOC_SSIT_BOT_CCO_TILE_X81Y671/CLKE2_PD_OPT_DELAY_SSIT_#_I 342.35 324.52
CLK_VNOC_SSIT_HBM_AAO_TILE_X109Y863/CLKE2_PD_OPT_DELAY_SSIT_#_I 223.16 207.51
CLK_VNOC_SSIT_HBM_AAO_TILE_X25Y863/CLKE2_PD_OPT_DELAY_SSIT_#_I 91.51 89.09
CLK_VNOC_SSIT_HBM_AAO_TILE_X53Y863/CLKE2_PD_OPT_DELAY_SSIT_#_I 192.39 182.55
CLK_VNOC_SSIT_HBM_AAO_TILE_X81Y863/CLKE2_PD_OPT_DELAY_SSIT_#_I 327.45 308.38
CLK_VNOC_SSIT_HSR_CCO_TILE_X109Y47/CLKE2_PD_OPT_DELAY_SSIT_#_I 225.09 207.91
CLK_VNOC_SSIT_HSR_CCO_TILE_X53Y47/CLKE2_PD_OPT_DELAY_SSIT_#_I 162.59 160.59
CLK_VNOC_SSIT_HSR_CCO_TILE_X81Y47/CLKE2_PD_OPT_DELAY_SSIT_#_I 296.54 286.41
CLK_VNOC_SSIT_MB_BBO_TILE_X109Y143/CLKE2_PD_OPT_DELAY_SSIT_#_I 208.15 191.47
CLK_VNOC_SSIT_MB_BBO_TILE_X53Y143/CLKE2_PD_OPT_DELAY_SSIT_#_I 176.66 172.75
CLK_VNOC_SSIT_MB_BBO_TILE_X81Y143/CLKE2_PD_OPT_DELAY_SSIT_#_I 316.17 303.60
CLK_VNOC_SSIT_MT_AAO_TILE_X109Y239/CLKE2_PD_OPT_DELAY_SSIT_#_I 182.75 169.85
CLK_VNOC_SSIT_MT_AAO_TILE_X53Y239/CLKE2_PD_OPT_DELAY_SSIT_#_I 161.92 158.64
CLK_VNOC_SSIT_MT_AAO_TILE_X81Y239/CLKE2_PD_OPT_DELAY_SSIT_#_I 286.39 276.84
CLK_VNOC_SSIT_MT_BBO_TILE_X109Y479/CLKE2_PD_OPT_DELAY_SSIT_#_I 151.61 143.14
CLK_VNOC_SSIT_MT_BBO_TILE_X109Y767/CLKE2_PD_OPT_DELAY_SSIT_#_I 110.82 109.92
